2,2,1991-12-15,1,2,1991-12-16,2,
2,2,1991-12-16,0,0,0000-00-00,2,
3,0,1991-12-17,1,1,1991-12-17,1,
2,0,1991-12-18,1,1,1991-12-18,1,
3,0,1991-12-19,1,1,1991-12-19,1,
2,0,1991-12-20,1,1,1991-12-20,1,
1,0,1991-12-21,1,1,1991-12-21,1,
2,1,1991-12-22,1,1,1991-12-22,1,
3,2,1991-12-23,1,1,1991-12-23,1,
2,2,1991-12-24,1,1,1991-12-24,1,
3,2,1991-12-25,1,1,1991-12-25,1,
2,2,1991-12-26,1,1,1991-12-26,1,
3,2,1991-12-27,1,1,1991-12-27,1,
3,1,1991-12-28,1,1,1991-12-28,1,
3,2,1991-12-29,1,1,1991-12-29,1,
3,0,1991-12-30,1,1,1991-12-30,1,
3,1,1991-12-31,1,1,1991-12-31,1,
3,0,1992-01-01,1,1,1992-01-01,1,
2,0,1992-01-02,1,2,1992-01-03,2,
2,0,1992-01-03,0,0,0000-00-00,2,
3,0,1992-01-04,1,1,1992-01-04,1,
2,0,1992-01-05,1,1,1992-01-05,1,
0,0,1992-01-06,1,1,1992-01-06,1,
1,1,1992-01-07,1,1,1992-01-07,1,
2,2,1992-01-08,1,1,1992-01-08,1,
3,2,1992-01-09,1,1,1992-01-09,1,
3,1,1992-01-10,1,1,1992-01-10,1,
0,2,1992-01-11,1,1,1992-01-11,1,
2,2,1992-01-12,1,4,1992-01-15,4,
2,2,1992-01-13,0,0,0000-00-00,4,
2,2,1992-01-14,0,0,0000-00-00,4,
2,2,1992-01-15,0,0,0000-00-00,4,
1,2,1992-01-16,1,1,1992-01-16,1,
2,2,1992-01-17,1,3,1992-01-19,3,
2,2,1992-01-18,0,0,0000-00-00,3,
2,2,1992-01-19,0,0,0000-00-00,3,
3,2,1992-01-20,1,2,1992-01-21,2,
3,2,1992-01-21,0,0,0000-00-00,2,
1,1,1992-01-22,1,1,1992-01-22,1,
2,0,1992-01-23,1,1,1992-01-23,1,
2,1,1992-01-24,1,1,1992-01-24,1,
3,2,1992-01-25,1,3,1992-01-27,3,
3,2,1992-01-26,0,0,0000-00-00,3,
3,2,1992-01-27,0,0,0000-00-00,3,
2,2,1992-01-28,1,1,1992-01-28,1,
3,2,1992-01-29,1,3,1992-01-31,3,
3,2,1992-01-30,0,0,0000-00-00,3,
3,2,1992-01-31,0,0,0000-00-00,3,
3,1,1992-02-01,1,1,1992-02-01,1,
1,0,1992-02-02,1,1,1992-02-02,1,
1,2,1992-02-03,1,1,1992-02-03,1,
2,2,1992-02-04,1,1,1992-02-04,1,
1,1,1992-02-05,1,1,1992-02-05,1,
2,0,1992-02-06,1,1,1992-02-06,1,
1,0,1992-02-07,1,3,1992-02-09,3,
1,0,1992-02-08,0,0,0000-00-00,3,
1,0,1992-02-09,0,0,0000-00-00,3,
1,2,1992-02-10,1,1,1992-02-10,1,
0,1,1992-02-11,1,1,1992-02-11,1,
2,0,1992-02-12,1,1,1992-02-12,1,
1,0,1992-02-13,1,1,1992-02-13,1,
0,0,1992-02-14,1,1,1992-02-14,1,
3,0,1992-02-15,1,1,1992-02-15,1,
3,1,1992-02-16,1,6,1992-02-21,6,
3,1,1992-02-17,0,0,0000-00-00,6,
3,1,1992-02-18,0,0,0000-00-00,6,
3,1,1992-02-19,0,0,0000-00-00,6,
3,1,1992-02-20,0,0,0000-00-00,6,
3,1,1992-02-21,0,0,0000-00-00,6,
